POD,CDU,Week,Date,Parameter,Measured Data,Comment,,,Parameter,Lower Limit,Upper Limit
POD #3,CDU-06,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,PH,7.84,Miscalibrated equipment,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,ATP Bacteria,0,,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,Conductivity,669.8,,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,Turbidity,4,,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,TDS,457.7,,,,,,
POD #2,CDU-01,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,PH,7.74,Miscalibrated equipment,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,ATP Bacteria,263,,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,Conductivity,652.8,,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,TDS,445.5,,,,,,
POD #2,CDU-02,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,PH,7.74,Miscalibrated equipment,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,ATP Bacteria,714,,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,Conductivity,689.9,,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,Turbidity,0,,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,TDS,471.7,,,,,,
POD #2,CDU-04,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,PH,7.18,Miscalibrated equipment,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,ATP Bacteria,786,,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,Conductivity,718.2,,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,TDS,489.7,,,,,,
POD #3,CDU-01,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,PH,7.17,Miscalibrated equipment,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,ATP Bacteria,1848,,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,Conductivity,709.9,,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,TDS,486.6,,,,,,
POD #3,CDU-02,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,PH,7.18,Miscalibrated equipment,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,ATP Bacteria,1877,,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,Conductivity,717.7,,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,TDS,489.8,,,,,,
POD #3,CDU-03,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,PH,7.22,Miscalibrated equipment,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,ATP Bacteria,93,,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,Conductivity,722.2,,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,TDS,492.9,,,,,,
POD #3,CDU-05,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,PH,7.28,Miscalibrated equipment,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,ATP Bacteria,2871,,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,Conductivity,717.9,,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,TDS,490.8,,,,,,
POD #3,CDU-06,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,PH,7.29,Miscalibrated equipment,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,ATP Bacteria,366,,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,Conductivity,669.7,,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,TDS,455,,,,,,
POD #2,CDU-02,WK 17 2026,21/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,PH,7.22,Miscalibrated equipment,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,ATP Bacteria,2987,Added 178ml of biocide at April 27,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,Conductivity,717,,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,TDS,490.2,,,,,,
POD #3,CDU-01,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,PH,7.22,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,ATP Bacteria,962,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,Conductivity,711,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,TDS,486,,,,,,
POD #3,CDU-02,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,PH,7.2,Miscalibrated equipment,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,ATP Bacteria,3712,Added 178ml of biocide at April 27,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,Conductivity,717.3,,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,Turbidity,3,,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,TDS,489.5,,,,,,
POD #3,CDU-03,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,PH,7.26,Miscalibrated equipment,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,ATP Bacteria,2646,Added 178ml of biocide at April 27,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,Conductivity,718.3,,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,TDS,490.6,,,,,,
POD #3,CDU-05,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,PH,7.2,Miscalibrated equipment,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,ATP Bacteria,3844,Added 178ml of biocide at April 27,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,Conductivity,718.1,,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,TDS,489.7,,,,,,
POD #3,CDU-06,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,PH,7.36,Miscalibrated equipment,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,ATP Bacteria,171,,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,Conductivity,663.6,,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,TDS,451.6,,,,,,
POD #2,CDU-01,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,PH,7.38,Miscalibrated equipment,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,ATP Bacteria,401,,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,Conductivity,692.7,,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,TDS,477.9,,,,,,
POD #2,CDU-02,WK 18 2026,27/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,PH,7.82,Miscalibrated equipment,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,ATP Bacteria,1194,,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,Conductivity,729.7,,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,TDS,497.4,,,,,,
POD #3,CDU-01,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,PH,7.86,Miscalibrated equipment,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,ATP Bacteria,916,,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,Conductivity,712.9,,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,TDS,485.5,,,,,,
POD #3,CDU-02,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,PH,7.81,Miscalibrated equipment,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,ATP Bacteria,1700,,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,Conductivity,735.2,,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,TDS,501.7,,,,,,
POD #3,CDU-03,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,PH,7.88,Miscalibrated equipment,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,ATP Bacteria,1504,,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,Conductivity,729.1,,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,TDS,497.3,,,,,,
POD #3,CDU-05,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,PH,7.8,Miscalibrated equipment,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,ATP Bacteria,3050,,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,Conductivity,738.3,,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,Turbidity,2,,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,TDS,503.6,,,,,,
POD #3,CDU-06,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,PH,7.95,Miscalibrated equipment,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,ATP Bacteria,250,,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,Conductivity,643.8,,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,TDS,438,,,,,,
POD #2,CDU-01,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,PH,7.92,Miscalibrated equipment,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,ATP Bacteria,320,,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,Conductivity,674.2,,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,TDS,458.7,,,,,,
POD #2,CDU-02,WK 18 2026,29/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 14 2026,05/04/2026,ATP Bacteria,957,,,,,,
POD #3,CDU-03,WK 14 2026,05/04/2026,ATP Bacteria,1100,,,,,,
POD #3,CDU-05,WK 14 2026,05/04/2026,ATP Bacteria,1036,,,,,,
POD #3,CDU-06,WK 14 2026,05/04/2026,ATP Bacteria,2125,,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,PH,7.3,Miscalibrated equipment,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,ATP Bacteria,663,,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,Conductivity,724.7,,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,TDS,493.4,,,,,,
POD #3,CDU-01,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,PH,7.2,Miscalibrated equipment,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,ATP Bacteria,2001.0,,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,Conductivity,709.6,,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,TDS,483.1,,,,,,
POD #3,CDU-02,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,PH,7.3,Miscalibrated equipment,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,ATP Bacteria,1107,,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,Conductivity,720.5,,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,TDS,490.3,,,,,,
POD #3,CDU-03,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,PH,7.3,Miscalibrated equipment,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,ATP Bacteria,1400,,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,Conductivity,736.6,,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,TDS,502.1,,,,,,
POD #3,CDU-05,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,PH,7.2,Miscalibrated equipment,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,ATP Bacteria,1184,,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,Conductivity,740.4,,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,TDS,505.1,,,,,,
POD #3,CDU-06,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,PH,7.4,Miscalibrated equipment,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,ATP Bacteria,691,,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,Conductivity,649.7,,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,TDS,441.6,,,,,,
POD #2,CDU-01,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,PH,7.4,Miscalibrated equipment,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,ATP Bacteria,1100,,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,Conductivity,678.6,,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,TDS,461.4,,,,,,
POD #2,CDU-02,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,PH,8.15,Miscalibrated equipment,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,ATP Bacteria,74,,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,Conductivity,780.2,,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,TDS,530.1,,,,,,
POD #2,CDU-03,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,PH,7.5,Miscalibrated equipment,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,ATP Bacteria,232.0,,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,Conductivity,695.7,,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,Turbidity,0,,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,TDS,474,,,,,,
POD #2,CDU-04,WK 19 2026,05/05/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 27 2026,05/07/2026,ATP Bacteria,2738.0,,,,,,
POD #3,CDU-03,WK 27 2026,05/07/2026,ATP Bacteria,1207.0,,,,,,
POD #3,CDU-05,WK 32 2026,05/08/2026,ATP Bacteria,2782.0,Added 178ml of biocide at May 8,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,PH,8.63,The equipment is calibrated ✅,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,ATP Bacteria,1478,,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,Conductivity,706.5,,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,TDS,486.2,,,,,,
POD #3,CDU-01,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,PH,8.63,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,ATP Bacteria,1234,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,Conductivity,700,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,TDS,479.2,,,,,,
POD #3,CDU-02,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,PH,8.63,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,ATP Bacteria,1856,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,Conductivity,699.7,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,TDS,477.2,,,,,,
POD #3,CDU-03,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,PH,8.68,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,ATP Bacteria,2144,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,Conductivity,734.8,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,TDS,501.6,,,,,,
POD #3,CDU-05,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,PH,8.65,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,ATP Bacteria,1411,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,Conductivity,712.1,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,TDS,485.9,,,,,,
POD #3,CDU-06,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,PH,8.76,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,ATP Bacteria,343,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,Conductivity,664.5,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,TDS,453.6,,,,,,
POD #2,CDU-01,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,PH,8.71,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,ATP Bacteria,222,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,Conductivity,680.8,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,TDS,463.9,,,,,,
POD #2,CDU-02,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,PH,9.38,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,ATP Bacteria,71,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,Conductivity,775.1,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,TDS,528.8,,,,,,
POD #2,CDU-03,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,PH,8.84,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,ATP Bacteria,600,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,Conductivity,668.3,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,Turbidity,0,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,TDS,454.9,,,,,,
POD #2,CDU-04,WK 49 2026,05/12/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,PH,8.07,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,ATP Bacteria,1904,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,Conductivity,709.5,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,TDS,487.3,,,,,,
POD #3,CDU-01,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,PH,8.02,,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,ATP Bacteria,2641,Added 178ml of biocide at May 20,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,Conductivity,698.5,,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,TDS,480.5,,,,,,
POD #3,CDU-02,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,PH,8.05,,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,ATP Bacteria,2476,Added 178ml of biocide at May 20,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,Conductivity,707.3,,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,TDS,487.6,,,,,,
POD #3,CDU-03,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,PH,8.05,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,ATP Bacteria,1258,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,Conductivity,736.2,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,TDS,507.6,,,,,,
POD #3,CDU-05,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,PH,8.02,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,ATP Bacteria,1903,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,Conductivity,711.3,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,TDS,489.9,,,,,,
POD #3,CDU-06,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,PH,8.05,,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,ATP Bacteria,2669,Added 178ml of biocide at May 20,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,Conductivity,663.1,,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,TDS,455.9,,,,,,
POD #2,CDU-01,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,PH,8,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,ATP Bacteria,281,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,Conductivity,681.5,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,TDS,468,,,,,,
POD #2,CDU-02,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,PH,8.8,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,ATP Bacteria,467,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,Conductivity,767.6,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,Turbidity,0,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,TDS,527.1,,,,,,
POD #2,CDU-03,WK 21 2026,20/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,PH,8.05,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,ATP Bacteria,1536,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,Conductivity,708.9,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,TDS,486.9,,,,,,
POD #3,CDU-01,WK 22 2026,26/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,PH,8.03,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,ATP Bacteria,2466,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,Conductivity,712.8,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,TDS,490.5,,,,,,
POD #3,CDU-02,WK 22 2026,26/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,PH,8.1,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,ATP Bacteria,2088,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,Conductivity,714.7,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,TDS,491.4,,,,,,
POD #3,CDU-03,WK 22 2026,26/5/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,PH,8.04,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,ATP Bacteria,444,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,Conductivity,719.9,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,TDS,495.7,,,,,,
POD #3,CDU-05,WK 22 2026,26/5/2026,Total Suspended Solids,0,,,,,,
